14	geo_vertical+geo_slope+geo_overhang+geo_wall+geo_pocket+geo_deep+geo_lava	DONE	7/7 PASS: {geo_vertical=PASS, geo_slope=PASS, geo_overhang=PASS, geo_wall=PASS, geo_pocket=PASS, geo_deep=PASS, geo_lava=PASS}
15	geo_gravel+geo_fullinv+geo_rich+geo_water+geo_bonus+geo_flow+geo_lake+geo_guard	HASFAIL	6/8 PASS: {geo_gravel=PASS, geo_fullinv=PASS, geo_rich=PASS, geo_water=PASS, geo_bonus=FAIL:ore_dig_no_progress collected=0, geo_flow=FAIL:move_dig_drowning, geo_lake=PASS, geo_guard=PASS}
16	dig_down+mine_exposed+ore_dig_buried+mine_to_iron+mine_buried_iron+mine_iron_pocket	DONE	6/6 PASS: {dig_down=PASS, mine_exposed=PASS, ore_dig_buried=PASS, mine_to_iron=PASS, mine_buried_iron=PASS, mine_iron_pocket=PASS}
17	mine_with_mob+mine_iron_from_scratch+achieve_iron_ingot+achieve_gold_ingot+achieve_obsidian	DONE	5/5 PASS: {mine_with_mob=PASS, mine_iron_from_scratch=PASS, achieve_iron_ingot=PASS, achieve_gold_ingot=PASS, achieve_obsidian=PASS}
18	achieve_iron_pickaxe+achieve_diamond+geo_recover+geo_stockpile+geo_resume+explore_wood	DONE	6/6 PASS: {achieve_iron_pickaxe=PASS, achieve_diamond=PASS, geo_recover=PASS, geo_stockpile=PASS, geo_resume=PASS, explore_wood=PASS}
19	real_wood	DONE	1/1 PASS: {real_wood=PASS}
20	real_iron	HASFAIL	0/1 PASS: {real_iron=FAIL:no_resource_nearby}
21	real_diamond	HASFAIL	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
22	real_wood+real_food+real_wheat	HASFAIL	1/3 PASS: {real_wood=PASS, real_food=FAIL:assertion_failed status=smelt Smelting minecraft:beef -> minecraft:cooked_beef 3/4 phase=LOADING, real_wheat=FAIL:gather_timeout}
23	real_iron+real_diamond	HASFAIL	0/2 PASS: {real_iron=FAIL:ore_dig_no_progress collected=0, real_diamond=FAIL:aborted}
24	food+food_full+farm+farm_wheat_from_scratch	HASFAIL	3/4 PASS: {food=PASS, food_full=FAIL:no_place_for_furnace, farm=PASS, farm_wheat_from_scratch=PASS}
25	food_farm+forage+farm_irrigate+cake	HASFAIL	3/4 PASS: {food_farm=FAIL:need: minecraft:wheat x3, forage=PASS, farm_irrigate=PASS, cake=PASS}
26	nav_buried_escape+nav_unreachable+real_nav_far+nav_pillar_out	HASFAIL	2/4 PASS: {nav_buried_escape=PASS, nav_unreachable=PASS, real_nav_far=FAIL:move_dig_drowning, nav_pillar_out=FAIL:aborted}
27	geo_vertical+geo_slope+geo_overhang+geo_wall+geo_pocket+geo_deep+geo_lava	DONE	7/7 PASS: {geo_vertical=PASS, geo_slope=PASS, geo_overhang=PASS, geo_wall=PASS, geo_pocket=PASS, geo_deep=PASS, geo_lava=PASS}
28	geo_gravel+geo_fullinv+geo_rich+geo_water+geo_bonus+geo_flow+geo_lake+geo_guard	HASFAIL	7/8 PASS: {geo_gravel=PASS, geo_fullinv=PASS, geo_rich=PASS, geo_water=PASS, geo_bonus=FAIL:ore_dig_no_progress collected=0, geo_flow=PASS, geo_lake=PASS, geo_guard=PASS}
29	dig_down+mine_exposed+ore_dig_buried+mine_to_iron+mine_buried_iron+mine_iron_pocket+mine_with_mob+mine_iron_from_scratch	DONE	8/8 PASS: {dig_down=PASS, mine_exposed=PASS, ore_dig_buried=PASS, mine_to_iron=PASS, mine_buried_iron=PASS, mine_iron_pocket=PASS, mine_with_mob=PASS, mine_iron_from_scratch=PASS}
30	achieve_iron_ingot+achieve_gold_ingot+achieve_obsidian+achieve_iron_pickaxe+achieve_diamond+geo_recover+geo_stockpile+geo_resume+explore_wood	DONE	9/9 PASS: {achieve_iron_ingot=PASS, achieve_gold_ingot=PASS, achieve_obsidian=PASS, achieve_iron_pickaxe=PASS, achieve_diamond=PASS, geo_recover=PASS, geo_stockpile=PASS, geo_resume=PASS, explore_wood=PASS}
ALLDONE
